Question,Answer Disease,Answer Index,Number of Symptoms,llama38b_Answer,extracted,check
"A patient is presenting with the following symptoms: Diminished vision, Symptoms of eye, Abnormal movement of eyelid. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperopia 2) Cervicitis 3) Idiopathic nonmenstrual bleeding 4) Inguinal hernia",Hyperopia,1,3,"1) Hyperopia
Explanation: The patient is presenting with symptoms of diminished vision and abnormal movement of eyelid, which",1,same
"A patient is presenting with the following symptoms: Diminished vision, Symptoms of eye, Abnormal movement of eyelid. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Inguinal hernia 2) Hyperopia 3) Idiopathic nonmenstrual bleeding 4) Cervicitis",Hyperopia,2,3,"2) Hyperopia
Explanation: The symptoms of diminished vision, symptoms of eye, and abnormal movement of eyelid are",2,same
"A patient is presenting with the following symptoms: Diminished vision, Symptoms of eye, Abnormal movement of eyelid. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Inguinal hernia 2) Cervicitis 3) Hyperopia 4) Idiopathic nonmenstrual bleeding",Hyperopia,3,3,"3) Hyperopia
Explanation: The symptoms of diminished vision, symptoms of eye, and abnormal movement of eyelid are",3,same
"A patient is presenting with the following symptoms: Diminished vision, Symptoms of eye, Abnormal movement of eyelid. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cervicitis 2) Inguinal hernia 3) Idiopathic nonmenstrual bleeding 4) Hyperopia",Hyperopia,4,3,"4) Hyperopia
Explanation: The symptoms of diminished vision, symptoms of eye, and abnormal movement of eyelid are",4,same
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Sleepiness, Depression. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Poisoning due to sedatives 2) Vitamin A deficiency 3) Cystic Fibrosis 4) Dyshidrosis",Poisoning due to sedatives,1,3,"1) Poisoning due to sedatives
Explanation: The symptoms of depression, sleepiness, and psychotic symptoms are consistent",1,same
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Sleepiness, Depression. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cystic Fibrosis 2) Poisoning due to sedatives 3) Vitamin A deficiency 4) Dyshidrosis",Poisoning due to sedatives,2,3,"2) Poisoning due to sedatives
Explanation: The symptoms of depression, sleepiness, and psychotic symptoms are consistent",2,same
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Sleepiness, Depression. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cystic Fibrosis 2) Dyshidrosis 3) Poisoning due to sedatives 4) Vitamin A deficiency",Poisoning due to sedatives,3,3,"3) Poisoning due to sedatives
Explanation: The symptoms of depression, sleepiness, and psychotic symptoms are consistent",3,same
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Sleepiness, Depression. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cystic Fibrosis 2) Vitamin A deficiency 3) Dyshidrosis 4) Poisoning due to sedatives",Poisoning due to sedatives,4,3,"4) Poisoning due to sedatives
Explanation: The symptoms of depression, sleepiness, and psychotic symptoms are consistent",4,same
"A patient is presenting with the following symptoms: Skin lesion, Skin rash, Abnormal appearing skin. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pemphigus 2) Hydronephrosis 3) Cystic Fibrosis 4) Migraine",Pemphigus,1,3,"1) Pemphigus
Explanation: The symptoms of skin lesion, skin rash, and abnormal appearing skin are",1,same
"A patient is presenting with the following symptoms: Skin lesion, Skin rash, Abnormal appearing skin. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cystic Fibrosis 2) Pemphigus 3) Migraine 4) Hydronephrosis",Pemphigus,2,3,"2) Pemphigus
Explanation: Pemphigus is a group of autoimmune disorders that cause bl",2,same
"A patient is presenting with the following symptoms: Skin lesion, Skin rash, Abnormal appearing skin. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hydronephrosis 2) Cystic Fibrosis 3) Pemphigus 4) Migraine",Pemphigus,3,3,"3) Pemphigus
Explanation: Pemphigus is a group of autoimmune disorders that cause bl",3,same
"A patient is presenting with the following symptoms: Skin lesion, Skin rash, Abnormal appearing skin. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hydronephrosis 2) Migraine 3) Cystic Fibrosis 4) Pemphigus",Pemphigus,4,3,"4) Pemphigus
Explanation: Pemphigus is a group of autoimmune disorders that cause bl",4,same
"A patient is presenting with the following symptoms: Impotence, Penis pain, Symptoms of prostate. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Peyronie disease 2) Idiopathic painful menstruation 3) Primary insomnia 4) Chronic pancreatitis",Peyronie disease,1,3,"1) Peyronie disease
Explanation: Peyronie disease is a condition characterized by the formation of scar tissue in",1,same
"A patient is presenting with the following symptoms: Impotence, Penis pain, Symptoms of prostate. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Idiopathic painful menstruation 2) Peyronie disease 3) Chronic pancreatitis 4) Primary insomnia",Peyronie disease,2,3,"2) Peyronie disease
Explanation: Peyronie disease is a condition characterized by the formation of scar tissue in",2,same
"A patient is presenting with the following symptoms: Impotence, Penis pain, Symptoms of prostate. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic pancreatitis 2) Primary insomnia 3) Peyronie disease 4) Idiopathic painful menstruation",Peyronie disease,3,3,"3) Peyronie disease
Explanation: Peyronie disease is a condition characterized by the formation of scar tissue in",3,same
"A patient is presenting with the following symptoms: Impotence, Penis pain, Symptoms of prostate. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Idiopathic painful menstruation 2) Primary insomnia 3) Chronic pancreatitis 4) Peyronie disease",Peyronie disease,4,3,"4) Peyronie disease
Explanation: Peyronie disease is a condition characterized by the formation of scar tissue in",4,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Sharp chest pain, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hiatal hernia 2) Central retinal artery or vein occlusion 3) Metabolic disorder 4) Cushing syndrome",Hiatal hernia,1,3,"2) Central retinal artery or vein occlusion
Explanation: The symptoms of sharp abdominal pain and sharp chest pain are",2,different
"A patient is presenting with the following symptoms: Sharp abdominal pain, Sharp chest pain, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Metabolic disorder 2) Hiatal hernia 3) Cushing syndrome 4) Central retinal artery or vein occlusion",Hiatal hernia,2,3,"2) Hiatal hernia
Explanation: The patient is presenting with sharp abdominal pain and chest pain, which are common",2,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Sharp chest pain, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Central retinal artery or vein occlusion 2) Metabolic disorder 3) Hiatal hernia 4) Cushing syndrome",Hiatal hernia,3,3,"3) Hiatal hernia
Explanation: The patient is presenting with sharp abdominal pain and chest pain, which are common",3,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Sharp chest pain, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cushing syndrome 2) Central retinal artery or vein occlusion 3) Metabolic disorder 4) Hiatal hernia",Hiatal hernia,4,3,"4) Hiatal hernia
Explanation: The patient is presenting with sharp abdominal pain and chest pain, which are common",4,same
"A patient is presenting with the following symptoms: Abnormal involuntary movements, Seizures, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Extrapyramidal effect of drugs 2) Psoriasis 3) Chlamydia 4) Urethral valves",Extrapyramidal effect of drugs,1,3,"1) Extrapyramidal effect of drugs
Explanation: The patient is presenting with symptoms of abnormal involuntary movements, seizures",1,same
"A patient is presenting with the following symptoms: Abnormal involuntary movements, Seizures, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chlamydia 2) Extrapyramidal effect of drugs 3) Psoriasis 4) Urethral valves",Extrapyramidal effect of drugs,2,3,"2) Extrapyramidal effect of drugs
Explanation: The patient is presenting with symptoms of abnormal involuntary movements, seizures",2,same
"A patient is presenting with the following symptoms: Abnormal involuntary movements, Seizures, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Urethral valves 2) Chlamydia 3) Extrapyramidal effect of drugs 4) Psoriasis",Extrapyramidal effect of drugs,3,3,"3) Extrapyramidal effect of drugs
Explanation: The symptoms of abnormal involuntary movements, seizures, anxiety, and",3,same
"A patient is presenting with the following symptoms: Abnormal involuntary movements, Seizures, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Psoriasis 2) Chlamydia 3) Urethral valves 4) Extrapyramidal effect of drugs",Extrapyramidal effect of drugs,4,3,"4) Extrapyramidal effect of drugs
Explanation: The symptoms of abnormal involuntary movements, seizures, anxiety, and",4,same
"A patient is presenting with the following symptoms: Dizziness, Diminished hearing, Ringing in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Meniere disease 2) Conjunctivitis due to bacteria 3) Dengue fever 4) Volvulus",Meniere disease,1,3,"1) Meniere disease
Explanation: Meniere disease is a disorder of the inner ear that causes episodes of vertigo",1,same
"A patient is presenting with the following symptoms: Dizziness, Diminished hearing, Ringing in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Conjunctivitis due to bacteria 2) Meniere disease 3) Dengue fever 4) Volvulus",Meniere disease,2,3,"2) Meniere disease
Explanation: Meniere disease is a disorder of the inner ear that causes episodes of vertigo",2,same
"A patient is presenting with the following symptoms: Dizziness, Diminished hearing, Ringing in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Conjunctivitis due to bacteria 2) Dengue fever 3) Meniere disease 4) Volvulus",Meniere disease,3,3,"3) Meniere disease
Explanation: Meniere disease is a disorder of the inner ear that causes episodes of vertigo",3,same
"A patient is presenting with the following symptoms: Dizziness, Diminished hearing, Ringing in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Volvulus 2) Dengue fever 3) Conjunctivitis due to bacteria 4) Meniere disease",Meniere disease,4,3,"4) Meniere disease
Explanation: Meniere disease is a disorder of the inner ear that causes episodes of vertigo",4,same
"A patient is presenting with the following symptoms: Rectal bleeding, Pain of the anus, Blood in stool. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Anal fissure 2) Scar 3) Vitreous degeneration 4) Vaginitis",Anal fissure,1,3,"1) Anal fissure
Explanation: The symptoms of rectal bleeding, pain of the anus, and blood in stool",1,same
"A patient is presenting with the following symptoms: Rectal bleeding, Pain of the anus, Blood in stool. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vaginitis 2) Anal fissure 3) Vitreous degeneration 4) Scar",Anal fissure,2,3,"2) Anal fissure
Explanation: The symptoms of rectal bleeding, pain of the anus, and blood in stool",2,same
"A patient is presenting with the following symptoms: Rectal bleeding, Pain of the anus, Blood in stool. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vaginitis 2) Scar 3) Anal fissure 4) Vitreous degeneration",Anal fissure,3,3,"3) Anal fissure
Explanation: The symptoms of rectal bleeding, pain of the anus, and blood in stool",3,same
"A patient is presenting with the following symptoms: Rectal bleeding, Pain of the anus, Blood in stool. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vitreous degeneration 2) Scar 3) Vaginitis 4) Anal fissure",Anal fissure,4,3,"4) Anal fissure
Explanation: The symptoms of rectal bleeding, pain of the anus, and blood in stool",4,same
"A patient is presenting with the following symptoms: Skin rash, Allergic reaction, Itching of skin. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Allergy 2) Meckel diverticulum 3) Poisoning due to opioids 4) Congenital heart defect",Allergy,1,3,"1) Allergy
Explanation: The symptoms of skin rash, allergic reaction, and itching of skin are consistent with an",1,same
"A patient is presenting with the following symptoms: Skin rash, Allergic reaction, Itching of skin. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Congenital heart defect 2) Allergy 3) Poisoning due to opioids 4) Meckel diverticulum",Allergy,2,3,"2) Allergy
Explanation: The symptoms of skin rash, allergic reaction, and itching of skin are consistent with an",2,same
"A patient is presenting with the following symptoms: Skin rash, Allergic reaction, Itching of skin. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Congenital heart defect 2) Meckel diverticulum 3) Allergy 4) Poisoning due to opioids",Allergy,3,3,"3) Allergy
Explanation: The symptoms of skin rash, allergic reaction, and itching of skin are consistent with an",3,same
"A patient is presenting with the following symptoms: Skin rash, Allergic reaction, Itching of skin. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Congenital heart defect 2) Poisoning due to opioids 3) Meckel diverticulum 4) Allergy",Allergy,4,3,"4) Allergy
Explanation: The symptoms of skin rash, allergic reaction, and itching of skin are consistent with an",4,same
"A patient is presenting with the following symptoms: Redness in ear, Ear pain, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic otitis media 2) Neurosis 3) Anal fistula 4) Corneal disorder",Chronic otitis media,1,3,"1) Chronic otitis media
Explanation: The symptoms of redness in the ear and ear pain are consistent with chronic",1,same
"A patient is presenting with the following symptoms: Redness in ear, Ear pain, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neurosis 2) Chronic otitis media 3) Corneal disorder 4) Anal fistula",Chronic otitis media,2,3,"2) Chronic otitis media
Explanation: The symptoms of redness in the ear and ear pain are consistent with chronic",2,same
"A patient is presenting with the following symptoms: Redness in ear, Ear pain, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Anal fistula 2) Corneal disorder 3) Chronic otitis media 4) Neurosis",Chronic otitis media,3,3,"3) Chronic otitis media
Explanation: The symptoms of redness in the ear, ear pain, and nasal congestion",3,same
"A patient is presenting with the following symptoms: Redness in ear, Ear pain, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Corneal disorder 2) Anal fistula 3) Neurosis 4) Chronic otitis media",Chronic otitis media,4,3,"4) Chronic otitis media
Explanation: The symptoms of redness in the ear, ear pain, and nasal congestion",4,same
"A patient is presenting with the following symptoms: Hand or finger pain, Foot or toe pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the finger 2) Intestinal malabsorption 3) Vitreous hemorrhage 4) Endometrial hyperplasia",Fracture of the finger,1,3,"1) Fracture of the finger
Explanation: The symptoms of hand or finger pain, foot or toe pain,",1,same
"A patient is presenting with the following symptoms: Hand or finger pain, Foot or toe pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vitreous hemorrhage 2) Fracture of the finger 3) Intestinal malabsorption 4) Endometrial hyperplasia",Fracture of the finger,2,3,"2) Fracture of the finger
Explanation: The symptoms of hand or finger pain, foot or toe pain,",2,same
"A patient is presenting with the following symptoms: Hand or finger pain, Foot or toe pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Endometrial hyperplasia 2) Vitreous hemorrhage 3) Fracture of the finger 4) Intestinal malabsorption",Fracture of the finger,3,3,"3) Fracture of the finger
Explanation: The symptoms of hand or finger pain, foot or toe pain,",3,same
"A patient is presenting with the following symptoms: Hand or finger pain, Foot or toe pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Endometrial hyperplasia 2) Vitreous hemorrhage 3) Intestinal malabsorption 4) Fracture of the finger",Fracture of the finger,4,3,"4) Fracture of the finger
Explanation: The symptoms of hand or finger pain, foot or toe pain,",4,same
"A patient is presenting with the following symptoms: Constipation, Ankle pain, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hirschsprung disease 2) Lateral epicondylitis (tennis elbow) 3) Chronic pain disorder 4) Bursitis",Hirschsprung disease,1,3,"1) Hirschsprung disease
Explanation: Hirschsprung disease is a congenital disorder characterized by the absence",1,same
"A patient is presenting with the following symptoms: Constipation, Ankle pain, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic pain disorder 2) Hirschsprung disease 3) Lateral epicondylitis (tennis elbow) 4) Bursitis",Hirschsprung disease,2,3,"2) Hirschsprung disease
Explanation: Hirschsprung disease is a congenital disorder characterized by the absence",2,same
"A patient is presenting with the following symptoms: Constipation, Ankle pain, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic pain disorder 2) Bursitis 3) Hirschsprung disease 4) Lateral epicondylitis (tennis elbow)",Hirschsprung disease,3,3,"3) Hirschsprung disease
Explanation: Hirschsprung disease is a congenital disorder characterized by the absence",3,same
"A patient is presenting with the following symptoms: Constipation, Ankle pain, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Bursitis 2) Lateral epicondylitis (tennis elbow) 3) Chronic pain disorder 4) Hirschsprung disease",Hirschsprung disease,4,3,"4) Hirschsprung disease
Explanation: Hirschsprung disease is a congenital disorder characterized by the absence",4,same
"A patient is presenting with the following symptoms: Fatigue, Shoulder pain, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Polymyalgia rheumatica 2) Ear drum damage 3) Corneal abrasion 4) Toxoplasmosis",Polymyalgia rheumatica,1,3,"1) Polymyalgia rheumatica
Explanation: Polymyalgia rheumatica is a condition characterized by",1,same
"A patient is presenting with the following symptoms: Fatigue, Shoulder pain, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Toxoplasmosis 2) Polymyalgia rheumatica 3) Ear drum damage 4) Corneal abrasion",Polymyalgia rheumatica,2,3,"2) Polymyalgia rheumatica
Explanation: Polymyalgia rheumatica is a condition characterized by",2,same
"A patient is presenting with the following symptoms: Fatigue, Shoulder pain, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Corneal abrasion 2) Ear drum damage 3) Polymyalgia rheumatica 4) Toxoplasmosis",Polymyalgia rheumatica,3,3,"3) Polymyalgia rheumatica
Explanation: Polymyalgia rheumatica is a condition characterized by",3,same
"A patient is presenting with the following symptoms: Fatigue, Shoulder pain, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ear drum damage 2) Corneal abrasion 3) Toxoplasmosis 4) Polymyalgia rheumatica",Polymyalgia rheumatica,4,3,"4) Polymyalgia rheumatica
Explanation: Polymyalgia rheumatica is a condition characterized by",4,same
"A patient is presenting with the following symptoms: Skin lesion, Leg swelling, Peripheral edema. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lymphedema 2) Colonic polyp 3) Syringomyelia 4) Cholecystitis",Lymphedema,1,3,"1) Lymphedema
Explanation: The patient is presenting with skin lesions, leg swelling, and peripheral edema",1,same
"A patient is presenting with the following symptoms: Skin lesion, Leg swelling, Peripheral edema. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cholecystitis 2) Lymphedema 3) Syringomyelia 4) Colonic polyp",Lymphedema,2,3,"2) Lymphedema
Explanation: The patient is presenting with skin lesions, leg swelling, and peripheral edema",2,same
"A patient is presenting with the following symptoms: Skin lesion, Leg swelling, Peripheral edema. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Syringomyelia 2) Cholecystitis 3) Lymphedema 4) Colonic polyp",Lymphedema,3,3,"3) Lymphedema
Explanation: The patient is presenting with skin lesions, leg swelling, and peripheral edema",3,same
"A patient is presenting with the following symptoms: Skin lesion, Leg swelling, Peripheral edema. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cholecystitis 2) Colonic polyp 3) Syringomyelia 4) Lymphedema",Lymphedema,4,3,"4) Lymphedema
Explanation: The patient is presenting with skin lesions, leg swelling, and peripheral edema",4,same
"A patient is presenting with the following symptoms: Blood in urine, Retention of urine, Symptoms of bladder. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Bladder cancer 2) Open wound of the hip 3) Tension headache 4) Hiatal hernia",Bladder cancer,1,3,"1) Bladder cancer
Explanation: The symptoms of blood in urine, retention of urine, and symptoms of bladder are",1,same
"A patient is presenting with the following symptoms: Blood in urine, Retention of urine, Symptoms of bladder. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tension headache 2) Bladder cancer 3) Open wound of the hip 4) Hiatal hernia",Bladder cancer,2,3,"2) Bladder cancer
Explanation: The symptoms of blood in urine, retention of urine, and symptoms of bladder are",2,same
"A patient is presenting with the following symptoms: Blood in urine, Retention of urine, Symptoms of bladder. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hiatal hernia 2) Open wound of the hip 3) Bladder cancer 4) Tension headache",Bladder cancer,3,3,"3) Bladder cancer
Explanation: The symptoms of blood in urine, retention of urine, and symptoms of bladder are",3,same
"A patient is presenting with the following symptoms: Blood in urine, Retention of urine, Symptoms of bladder. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hiatal hernia 2) Tension headache 3) Open wound of the hip 4) Bladder cancer",Bladder cancer,4,3,"4) Bladder cancer
Explanation: The symptoms of blood in urine, retention of urine, and symptoms of bladder are",4,same
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Wheezing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute bronchospasm 2) Astigmatism 3) Tendinitis 4) Pick disease",Acute bronchospasm,1,3,"1) Acute bronchospasm
Explanation: The patient is presenting with symptoms of cough, shortness of breath",1,same
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Wheezing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pick disease 2) Acute bronchospasm 3) Tendinitis 4) Astigmatism",Acute bronchospasm,2,3,"2) Acute bronchospasm
Explanation: The patient's symptoms of cough, shortness of breath, and",2,same
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Wheezing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pick disease 2) Astigmatism 3) Acute bronchospasm 4) Tendinitis",Acute bronchospasm,3,3,"3) Acute bronchospasm
Explanation: The patient's symptoms of cough, shortness of breath, and",3,same
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Wheezing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Astigmatism 2) Pick disease 3) Tendinitis 4) Acute bronchospasm",Acute bronchospasm,4,3,"4) Acute bronchospasm
Explanation: The patient's symptoms of cough, shortness of breath, and",4,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute glaucoma 2) Intestinal obstruction 3) Male genitalia infection 4) Meckel diverticulum",Acute glaucoma,1,3,"1) Acute glaucoma
Explanation: The symptoms of diminished vision and pain in the eye are consistent with acute",1,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Male genitalia infection 2) Acute glaucoma 3) Intestinal obstruction 4) Meckel diverticulum",Acute glaucoma,2,3,"2) Acute glaucoma
Explanation: The symptoms of diminished vision and pain in the eye are consistent with acute",2,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Meckel diverticulum 2) Male genitalia infection 3) Acute glaucoma 4) Intestinal obstruction",Acute glaucoma,3,3,"3) Acute glaucoma
Explanation: The symptoms of diminished vision and pain in the eye are consistent with acute",3,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Meckel diverticulum 2) Male genitalia infection 3) Intestinal obstruction 4) Acute glaucoma",Acute glaucoma,4,3,"4) Acute glaucoma
Explanation: The symptoms of the patient, including diminished vision and pain in the eye",4,same
"A patient is presenting with the following symptoms: Sharp chest pain, Drug abuse, Lip swelling, Bleeding. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the chest 2) Fetal alcohol syndrome 3) Breast cyst 4) Vaginal yeast infection",Open wound of the chest,1,4,"1) Open wound of the chest
Explanation: The patient is presenting with sharp chest pain, which is a common symptom",1,same
"A patient is presenting with the following symptoms: Sharp chest pain, Drug abuse, Lip swelling, Bleeding. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fetal alcohol syndrome 2) Open wound of the chest 3) Vaginal yeast infection 4) Breast cyst",Open wound of the chest,2,4,"2) Open wound of the chest
Explanation: The patient's symptoms, including sharp chest pain, drug abuse, lip",2,same
"A patient is presenting with the following symptoms: Sharp chest pain, Drug abuse, Lip swelling, Bleeding. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fetal alcohol syndrome 2) Vaginal yeast infection 3) Open wound of the chest 4) Breast cyst",Open wound of the chest,3,4,"3) Open wound of the chest
Explanation: The patient's symptoms, including sharp chest pain, lip swelling, and",3,same
"A patient is presenting with the following symptoms: Sharp chest pain, Drug abuse, Lip swelling, Bleeding. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fetal alcohol syndrome 2) Breast cyst 3) Vaginal yeast infection 4) Open wound of the chest",Open wound of the chest,4,4,"4) Open wound of the chest
Explanation: The patient is presenting with sharp chest pain, which could be indicative of",4,same
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Fluid retention, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the patella 2) Sepsis 3) Injury to the face 4) Behcet disease",Dislocation of the patella,1,4,"4) Behcet disease
Explanation: Behcet disease is a chronic inflammatory disorder that can cause joint pain,",4,different
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Fluid retention, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Behcet disease 2) Dislocation of the patella 3) Sepsis 4) Injury to the face",Dislocation of the patella,2,4,"2) Dislocation of the patella
Explanation: The symptoms of knee pain, knee swelling, and fluid retention are",2,same
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Fluid retention, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Behcet disease 2) Injury to the face 3) Dislocation of the patella 4) Sepsis",Dislocation of the patella,3,4,"4) Sepsis
Explanation: The patient is presenting with symptoms of knee pain, swelling, and fluid retention,",4,different
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Fluid retention, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sepsis 2) Injury to the face 3) Behcet disease 4) Dislocation of the patella",Dislocation of the patella,4,4,"3) Behcet disease
Explanation: Behcet disease is a chronic inflammatory disorder that can cause symptoms such as",3,different
"A patient is presenting with the following symptoms: Back pain, Leg pain, Low back pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sciatica 2) Placental abruption 3) Inguinal hernia 4) Trichinosis",Sciatica,1,4,"1) Sciatica
Explanation: Sciatica is a common condition characterized by pain, numbness, tingling, and",1,same
"A patient is presenting with the following symptoms: Back pain, Leg pain, Low back pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Trichinosis 2) Sciatica 3) Inguinal hernia 4) Placental abruption",Sciatica,2,4,"2) Sciatica
Explanation: Sciatica is a common condition characterized by pain, numbness, tingling, and",2,same
"A patient is presenting with the following symptoms: Back pain, Leg pain, Low back pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Trichinosis 3) Sciatica 4) Inguinal hernia",Sciatica,3,4,"3) Sciatica
Explanation: Sciatica is a common condition characterized by pain, numbness, tingling, and",3,same
"A patient is presenting with the following symptoms: Back pain, Leg pain, Low back pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Trichinosis 3) Inguinal hernia 4) Sciatica",Sciatica,4,4,"4) Sciatica
Explanation: Sciatica is a common condition characterized by pain, numbness, and tingling in",4,same
