Question,Answer Disease,Answer Index,Number of Symptoms,MedicalLlama3_8B_Answer,extracted,check
"A patient is presenting with the following symptoms: Sharp chest pain, Palpitations, Shortness of breath, Fatigue. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Drug abuse (barbiturates) 2) Nose disorder 3) Genital herpes 4) Mitral valve disease",Mitral valve disease,4,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Sharp chest pain, Palpitations, Shortness of breath, Fatigue. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Drug abuse (barbiturates) 2) Nose disorder 3) Genital herpes 4) Mitral valve disease
Answer: 1
Explanation: The patient is presenting with symptoms of drug abuse (barbiturates). The patient is experiencing chest pain, palpitations, shortness of breath, and fatigue. These symptoms are consistent with drug abuse (barbiturates",1,different
"A patient is presenting with the following symptoms: Abnormal involuntary movements, Problems with movement, Disturbance of memory, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Parkinson disease 2) Lyme disease 3) Acute sinusitis 4) Nasal polyp",Parkinson disease,1,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Abnormal involuntary movements, Problems with movement, Disturbance of memory, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Parkinson disease 2) Lyme disease 3) Acute sinusitis 4) Nasal polyp
Answer: 1
Explanation: The patient is presenting with symptoms of Parkinson disease, which is a progressive neurological disorder characterized by tremors, rigidity, and slowness of movement. The other options are not consistent with the given symptoms.",1,same
"A patient is presenting with the following symptoms: Abnormal involuntary movements, Problems with movement, Disturbance of memory, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lyme disease 2) Parkinson disease 3) Acute sinusitis 4) Nasal polyp",Parkinson disease,2,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Abnormal involuntary movements, Problems with movement, Disturbance of memory, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lyme disease 2) Parkinson disease 3) Acute sinusitis 4) Nasal polyp
Answer: 2
Explanation: The patient is presenting with symptoms of Parkinson disease, which is a progressive neurological disorder characterized by tremors, rigidity, and slowness of movement. The other options are not consistent with the given symptoms.",2,same
"A patient is presenting with the following symptoms: Abnormal involuntary movements, Problems with movement, Disturbance of memory, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Nasal polyp 2) Acute sinusitis 3) Parkinson disease 4) Lyme disease",Parkinson disease,3,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Abnormal involuntary movements, Problems with movement, Disturbance of memory, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Nasal polyp 2) Acute sinusitis 3) Parkinson disease 4) Lyme disease
Answer: 3
Explanation: The patient is presenting with symptoms of Parkinson disease, which is a neurodegenerative disorder characterized by tremors, rigidity, and bradykinesia. The other options are not consistent with the given symptoms.

Given",3,same
"A patient is presenting with the following symptoms: Abnormal involuntary movements, Problems with movement, Disturbance of memory, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute sinusitis 2) Nasal polyp 3) Lyme disease 4) Parkinson disease",Parkinson disease,4,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Abnormal involuntary movements, Problems with movement, Disturbance of memory, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute sinusitis 2) Nasal polyp 3) Lyme disease 4) Parkinson disease
Answer: 4
Explanation: The patient is presenting with symptoms of Parkinson disease, which is a progressive neurological disorder characterized by tremors, rigidity, and slowness of movement. The other options are not consistent with the given symptoms.",4,same
"A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Foot or toe swelling, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gout 2) Acute bronchitis 3) Tonsillar hypertrophy 4) Carcinoid syndrome",Gout,1,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Foot or toe swelling, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gout 2) Acute bronchitis 3) Tonsillar hypertrophy 4) Carcinoid syndrome
Answer: 1
Explanation: Gout is a type of arthritis caused by the accumulation of uric acid crystals in the joints. It is characterized by sudden, severe pain, redness, and swelling in the affected joint. The symptoms of gout are",1,same
"A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Foot or toe swelling, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Carcinoid syndrome 2) Gout 3) Tonsillar hypertrophy 4) Acute bronchitis",Gout,2,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Foot or toe swelling, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Carcinoid syndrome 2) Gout 3) Tonsillar hypertrophy 4) Acute bronchitis
Answer: 2
Explanation: Gout is a type of arthritis caused by the accumulation of uric acid crystals in the joints. It is characterized by sudden, severe pain, redness, and swelling in the affected joint. The symptoms of gout are",2,same
"A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Foot or toe swelling, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Carcinoid syndrome 2) Tonsillar hypertrophy 3) Gout 4) Acute bronchitis",Gout,3,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Foot or toe swelling, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Carcinoid syndrome 2) Tonsillar hypertrophy 3) Gout 4) Acute bronchitis
Answer: 3
Explanation: Gout is a type of arthritis caused by the accumulation of uric acid crystals in the joints. It is characterized by sudden, severe pain, redness, and swelling in the affected joint. The symptoms of gout typically",3,same
"A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Foot or toe swelling, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute bronchitis 2) Tonsillar hypertrophy 3) Carcinoid syndrome 4) Gout",Gout,4,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Foot or toe swelling, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute bronchitis 2) Tonsillar hypertrophy 3) Carcinoid syndrome 4) Gout
Answer: 4
Explanation: Gout is a type of arthritis caused by the accumulation of uric acid crystals in the joints. It is characterized by sudden, severe pain, redness, and swelling in the affected joint. The symptoms of gout are",4,same
"A patient is presenting with the following symptoms: Ear pain, Fever, Cough, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Otitis media 2) Fibromyalgia 3) Hemangioma 4) Bladder cancer",Otitis media,1,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Ear pain, Fever, Cough, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Otitis media 2) Fibromyalgia 3) Hemangioma 4) Bladder cancer
Answer: 1
Explanation: Otitis media is an inflammation of the middle ear, which is caused by a bacterial or viral infection. It is characterized by ear pain, fever, cough, and nasal congestion. Fibromyalgia is a chronic pain",1,same
"A patient is presenting with the following symptoms: Ear pain, Fever, Cough, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fibromyalgia 2) Otitis media 3) Bladder cancer 4) Hemangioma",Otitis media,2,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Ear pain, Fever, Cough, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fibromyalgia 2) Otitis media 3) Bladder cancer 4) Hemangioma
Answer: 2
Explanation: Otitis media is an inflammation of the middle ear, which is caused by a bacterial or viral infection. It is characterized by ear pain, fever, cough, and nasal congestion. Fibromyalgia is a chronic pain",2,same
"A patient is presenting with the following symptoms: Ear pain, Fever, Cough, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fibromyalgia 2) Bladder cancer 3) Otitis media 4) Hemangioma",Otitis media,3,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Ear pain, Fever, Cough, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fibromyalgia 2) Bladder cancer 3) Otitis media 4) Hemangioma
Answer: 3
Explanation: Otitis media is a middle ear infection that can cause ear pain, fever, and cough. It is the most likely diagnosis given the symptoms of the patient. Fibromyalgia is a chronic pain syndrome that affects the",3,same
"A patient is presenting with the following symptoms: Ear pain, Fever, Cough, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hemangioma 2) Bladder cancer 3) Fibromyalgia 4) Otitis media",Otitis media,4,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Ear pain, Fever, Cough, Nasal congestion. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hemangioma 2) Bladder cancer 3) Fibromyalgia 4) Otitis media
Answer: 1
Explanation: The patient is presenting with ear pain, fever, cough, and nasal congestion. These symptoms are consistent with the diagnosis of hemangioma, a benign tumor of the blood vessels. The other options are not consistent with the given",1,different
"A patient is presenting with the following symptoms: Drug abuse, Depressive or psychotic symptoms, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Drug abuse (opioids) 2) Cervicitis 3) Atrophic skin condition 4) Pemphigus",Drug abuse (opioids),1,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Drug abuse, Depressive or psychotic symptoms, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Drug abuse (opioids) 2) Cervicitis 3) Atrophic skin condition 4) Pemphigus
Answer: 1
Explanation: Drug abuse (opioids) is the most likely diagnosis given the symptoms of the patient. The patient is presenting with symptoms of drug abuse, which is a common cause of depressive or psychotic symptoms. The patient is also presenting with",1,same
"A patient is presenting with the following symptoms: Drug abuse, Depressive or psychotic symptoms, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pemphigus 2) Drug abuse (opioids) 3) Cervicitis 4) Atrophic skin condition",Drug abuse (opioids),2,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Drug abuse, Depressive or psychotic symptoms, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pemphigus 2) Drug abuse (opioids) 3) Cervicitis 4) Atrophic skin condition
Answer: 2
Explanation: The patient is presenting with symptoms of drug abuse, depressive or psychotic symptoms, depression, anxiety and nervousness. The most likely diagnosis is drug abuse (opioids).",2,same
"A patient is presenting with the following symptoms: Drug abuse, Depressive or psychotic symptoms, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cervicitis 2) Atrophic skin condition 3) Drug abuse (opioids) 4) Pemphigus",Drug abuse (opioids),3,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Drug abuse, Depressive or psychotic symptoms, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cervicitis 2) Atrophic skin condition 3) Drug abuse (opioids) 4) Pemphigus
Answer: Drug abuse (opioids)
Explanation: The patient is presenting with symptoms of drug abuse, depressive or psychotic symptoms, depression, anxiety and nervousness. The most likely diagnosis is drug abuse (opioids).",3,same
"A patient is presenting with the following symptoms: Drug abuse, Depressive or psychotic symptoms, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cervicitis 2) Pemphigus 3) Atrophic skin condition 4) Drug abuse (opioids)",Drug abuse (opioids),4,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Drug abuse, Depressive or psychotic symptoms, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cervicitis 2) Pemphigus 3) Atrophic skin condition 4) Drug abuse (opioids)
Answer: Drug abuse (opioids)
Explanation: The patient is presenting with symptoms of drug abuse, depressive or psychotic symptoms, depression, anxiety and nervousness. The most likely diagnosis is drug abuse (opioids).",4,same
"A patient is presenting with the following symptoms: Fatigue, Chills, Difficulty speaking, Coughing up sputum. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Myelodysplastic syndrome 2) Open wound of the ear 3) Herniated disk 4) Personality disorder",Myelodysplastic syndrome,1,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Fatigue, Chills, Difficulty speaking, Coughing up sputum. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Myelodysplastic syndrome 2) Open wound of the ear 3) Herniated disk 4) Personality disorder
Answer: 1
Explanation: The patient is presenting with symptoms of fatigue, chills, difficulty speaking, and coughing up sputum. These symptoms are consistent with myelodysplastic syndrome, which is a disorder of the bone marrow that",1,same
"A patient is presenting with the following symptoms: Fatigue, Chills, Difficulty speaking, Coughing up sputum. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Herniated disk 2) Myelodysplastic syndrome 3) Open wound of the ear 4) Personality disorder",Myelodysplastic syndrome,2,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Fatigue, Chills, Difficulty speaking, Coughing up sputum. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Herniated disk 2) Myelodysplastic syndrome 3) Open wound of the ear 4) Personality disorder
Answer: 2
Explanation: The patient is presenting with symptoms of fatigue, chills, difficulty speaking, and coughing up sputum. These symptoms are consistent with the diagnosis of myelodysplastic syndrome. Herniated disk is a condition",2,same
"A patient is presenting with the following symptoms: Fatigue, Chills, Difficulty speaking, Coughing up sputum. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Personality disorder 2) Herniated disk 3) Myelodysplastic syndrome 4) Open wound of the ear",Myelodysplastic syndrome,3,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Fatigue, Chills, Difficulty speaking, Coughing up sputum. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Personality disorder 2) Herniated disk 3) Myelodysplastic syndrome 4) Open wound of the ear
Answer: 3
Explanation: The patient is presenting with symptoms of fatigue, chills, difficulty speaking, and coughing up sputum. These symptoms are consistent with a diagnosis of myelodysplastic syndrome, which is a disorder of the",3,same
"A patient is presenting with the following symptoms: Fatigue, Chills, Difficulty speaking, Coughing up sputum. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Personality disorder 2) Open wound of the ear 3) Herniated disk 4) Myelodysplastic syndrome",Myelodysplastic syndrome,4,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Fatigue, Chills, Difficulty speaking, Coughing up sputum. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Personality disorder 2) Open wound of the ear 3) Herniated disk 4) Myelodysplastic syndrome
Answer: 4
Explanation: The patient is presenting with symptoms of fatigue, chills, difficulty speaking, and coughing up sputum. These symptoms are consistent with a diagnosis of myelodysplastic syndrome, which is a disorder of the",4,same
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Bones are painful, Arm stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the shoulder 2) Multiple myeloma 3) Ganglion cyst 4) Glucocorticoid deficiency",Fracture of the shoulder,1,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Bones are painful, Arm stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the shoulder 2) Multiple myeloma 3) Ganglion cyst 4) Glucocorticoid deficiency
Answer: 2
Explanation: The patient is presenting with shoulder pain, arm pain, and bones that are painful. These symptoms are consistent with multiple myeloma, a type of cancer that affects the bone marrow. The other options are not as likely given",2,different
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Bones are painful, Arm stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ganglion cyst 2) Fracture of the shoulder 3) Glucocorticoid deficiency 4) Multiple myeloma",Fracture of the shoulder,2,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Bones are painful, Arm stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ganglion cyst 2) Fracture of the shoulder 3) Glucocorticoid deficiency 4) Multiple myeloma
Answer: 2
Explanation: The patient is presenting with shoulder pain, arm pain, and bones that are painful. These symptoms are consistent with a diagnosis of fracture of the shoulder. The other options are not consistent with the given symptoms.

Given the symptoms of",2,same
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Bones are painful, Arm stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Glucocorticoid deficiency 2) Multiple myeloma 3) Fracture of the shoulder 4) Ganglion cyst",Fracture of the shoulder,3,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Bones are painful, Arm stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Glucocorticoid deficiency 2) Multiple myeloma 3) Fracture of the shoulder 4) Ganglion cyst
Answer: 3
Explanation: The patient is presenting with shoulder pain, arm pain, and bones that are painful. This is consistent with a diagnosis of fracture of the shoulder. The other options are not consistent with the given symptoms.

Given the symptoms of the",3,same
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Bones are painful, Arm stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Multiple myeloma 2) Ganglion cyst 3) Glucocorticoid deficiency 4) Fracture of the shoulder",Fracture of the shoulder,4,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Bones are painful, Arm stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Multiple myeloma 2) Ganglion cyst 3) Glucocorticoid deficiency 4) Fracture of the shoulder
Answer: 1
Explanation: The patient is presenting with shoulder pain, arm pain, and bones that are painful. These symptoms are consistent with multiple myeloma, which is a type of cancer that affects the bone marrow. The other options are not as",1,different
"A patient is presenting with the following symptoms: Shortness of breath, Weakness, Vomiting, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute kidney injury 2) Allergy 3) Complex regional pain syndrome 4) Cushing syndrome",Acute kidney injury,1,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Shortness of breath, Weakness, Vomiting, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute kidney injury 2) Allergy 3) Complex regional pain syndrome 4) Cushing syndrome
Answer: 1
Explanation: The patient is presenting with symptoms of acute kidney injury, which is characterized by the sudden onset of kidney dysfunction, leading to the accumulation of waste products in the blood. This can cause symptoms such as shortness of breath, weakness",1,same
"A patient is presenting with the following symptoms: Shortness of breath, Weakness, Vomiting, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Allergy 2) Acute kidney injury 3) Cushing syndrome 4) Complex regional pain syndrome",Acute kidney injury,2,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Shortness of breath, Weakness, Vomiting, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Allergy 2) Acute kidney injury 3) Cushing syndrome 4) Complex regional pain syndrome
Answer: 2
Explanation: The patient is presenting with symptoms of acute kidney injury, which is characterized by the sudden onset of symptoms such as shortness of breath, weakness, vomiting, and dizziness. Allergy, Cushing syndrome, and complex regional",2,same
"A patient is presenting with the following symptoms: Shortness of breath, Weakness, Vomiting, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Complex regional pain syndrome 2) Cushing syndrome 3) Acute kidney injury 4) Allergy",Acute kidney injury,3,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Shortness of breath, Weakness, Vomiting, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Complex regional pain syndrome 2) Cushing syndrome 3) Acute kidney injury 4) Allergy
Answer: 1
Explanation: The patient is presenting with symptoms of complex regional pain syndrome, which is a condition characterized by chronic pain and swelling in one or more extremities. The other options are not consistent with the given symptoms.",1,different
"A patient is presenting with the following symptoms: Shortness of breath, Weakness, Vomiting, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Complex regional pain syndrome 2) Allergy 3) Cushing syndrome 4) Acute kidney injury",Acute kidney injury,4,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Shortness of breath, Weakness, Vomiting, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Complex regional pain syndrome 2) Allergy 3) Cushing syndrome 4) Acute kidney injury
Answer: 1
Explanation: The patient is presenting with symptoms of shortness of breath, weakness, vomiting, and dizziness. These symptoms are suggestive of complex regional pain syndrome, which is a condition characterized by chronic pain and swelling in the affected limb.",1,different
"A patient is presenting with the following symptoms: Spotting or bleeding during pregnancy, Sharp abdominal pain, Pain during pregnancy, Uterine contractions. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Threatened pregnancy 2) Dissociative disorder 3) Contact dermatitis 4) Spina bifida",Threatened pregnancy,1,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Spotting or bleeding during pregnancy, Sharp abdominal pain, Pain during pregnancy, Uterine contractions. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Threatened pregnancy 2) Dissociative disorder 3) Contact dermatitis 4) Spina bifida
Answer: 1
Explanation: The patient is presenting with symptoms of threatened pregnancy, which is a condition where there is a risk of miscarriage. The other options are not related to the given symptoms.",1,same
"A patient is presenting with the following symptoms: Spotting or bleeding during pregnancy, Sharp abdominal pain, Pain during pregnancy, Uterine contractions. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spina bifida 2) Threatened pregnancy 3) Contact dermatitis 4) Dissociative disorder",Threatened pregnancy,2,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Spotting or bleeding during pregnancy, Sharp abdominal pain, Pain during pregnancy, Uterine contractions. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spina bifida 2) Threatened pregnancy 3) Contact dermatitis 4) Dissociative disorder
Answer: 2
Explanation: The patient is presenting with the symptoms of spotting or bleeding during pregnancy, sharp abdominal pain, pain during pregnancy, and uterine contractions. These symptoms are indicative of a threatened pregnancy, which is a condition where the fetus",2,same
"A patient is presenting with the following symptoms: Spotting or bleeding during pregnancy, Sharp abdominal pain, Pain during pregnancy, Uterine contractions. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Contact dermatitis 2) Dissociative disorder 3) Threatened pregnancy 4) Spina bifida",Threatened pregnancy,3,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Spotting or bleeding during pregnancy, Sharp abdominal pain, Pain during pregnancy, Uterine contractions. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Contact dermatitis 2) Dissociative disorder 3) Threatened pregnancy 4) Spina bifida
Answer: 3
Explanation: The patient is presenting with the symptoms of spotting or bleeding during pregnancy, sharp abdominal pain, pain during pregnancy, and uterine contractions. These symptoms are indicative of a threatened pregnancy, which is a condition where the fetus",3,same
"A patient is presenting with the following symptoms: Spotting or bleeding during pregnancy, Sharp abdominal pain, Pain during pregnancy, Uterine contractions. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dissociative disorder 2) Spina bifida 3) Contact dermatitis 4) Threatened pregnancy",Threatened pregnancy,4,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Spotting or bleeding during pregnancy, Sharp abdominal pain, Pain during pregnancy, Uterine contractions. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dissociative disorder 2) Spina bifida 3) Contact dermatitis 4) Threatened pregnancy
Answer: 4
Explanation: The patient is presenting with symptoms of threatened pregnancy, which is a condition where there is a risk of miscarriage. The most likely diagnosis is threatened pregnancy, as it is the only option that includes all the symptoms mentioned in the",4,same
"A patient is presenting with the following symptoms: Seizures, Fever, Back pain, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Intracranial abscess 2) Histoplasmosis 3) Dislocation of the ankle 4) Avascular necrosis",Intracranial abscess,1,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Seizures, Fever, Back pain, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Intracranial abscess 2) Histoplasmosis 3) Dislocation of the ankle 4) Avascular necrosis
Answer: 1
Explanation: The patient is presenting with the symptoms of seizures, fever, back pain, and headache. These symptoms are suggestive of intracranial abscess, which is a collection of pus within the brain. The other options are not",1,same
"A patient is presenting with the following symptoms: Seizures, Fever, Back pain, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Avascular necrosis 2) Intracranial abscess 3) Dislocation of the ankle 4) Histoplasmosis",Intracranial abscess,2,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Seizures, Fever, Back pain, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Avascular necrosis 2) Intracranial abscess 3) Dislocation of the ankle 4) Histoplasmosis
Answer: 2
Explanation: The patient is presenting with the symptoms of seizures, fever, back pain, and headache. These symptoms are suggestive of intracranial abscess, which is a collection of pus within the brain. The other options are not",2,same
"A patient is presenting with the following symptoms: Seizures, Fever, Back pain, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the ankle 2) Avascular necrosis 3) Intracranial abscess 4) Histoplasmosis",Intracranial abscess,3,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Seizures, Fever, Back pain, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the ankle 2) Avascular necrosis 3) Intracranial abscess 4) Histoplasmosis
Answer: 3
Explanation: The patient is presenting with the symptoms of seizures, fever, back pain, and headache. These symptoms are suggestive of an intracranial abscess, which is a collection of pus within the brain. The other options are",3,same
"A patient is presenting with the following symptoms: Seizures, Fever, Back pain, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Avascular necrosis 2) Histoplasmosis 3) Dislocation of the ankle 4) Intracranial abscess",Intracranial abscess,4,4,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Seizures, Fever, Back pain, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Avascular necrosis 2) Histoplasmosis 3) Dislocation of the ankle 4) Intracranial abscess
Answer: 2
Explanation: The patient is presenting with the symptoms of seizures, fever, back pain, and headache. These symptoms are suggestive of histoplasmosis, a fungal infection that can cause seizures, fever, back pain, and headache.",2,different
