Question,Answer Disease,Answer Index,Number of Symptoms
"A patient is presenting with the following symptoms: Pain in eye, Shoulder cramps or spasms, Facial pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute fatty liver of pregnancy (AFLP) 2) Drug abuse (methamphetamine) 3) Actinic keratosis 4) Lead poisoning",Lead poisoning,4,3
"A patient is presenting with the following symptoms: Warts, Skin lesion, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Viral warts 2) Breast cancer 3) Vitamin D deficiency 4) Ectropion",Viral warts,1,3
"A patient is presenting with the following symptoms: Warts, Skin lesion, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ectropion 2) Viral warts 3) Vitamin D deficiency 4) Breast cancer",Viral warts,2,3
"A patient is presenting with the following symptoms: Warts, Skin lesion, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vitamin D deficiency 2) Ectropion 3) Viral warts 4) Breast cancer",Viral warts,3,3
"A patient is presenting with the following symptoms: Warts, Skin lesion, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vitamin D deficiency 2) Breast cancer 3) Ectropion 4) Viral warts",Viral warts,4,3
"A patient is presenting with the following symptoms: Sweating, Warts, Acne or pimples. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperhidrosis 2) Cardiac arrest 3) Stricture of the esophagus 4) Lipoma",Hyperhidrosis,1,3
"A patient is presenting with the following symptoms: Sweating, Warts, Acne or pimples. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Stricture of the esophagus 2) Hyperhidrosis 3) Lipoma 4) Cardiac arrest",Hyperhidrosis,2,3
"A patient is presenting with the following symptoms: Sweating, Warts, Acne or pimples. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cardiac arrest 2) Stricture of the esophagus 3) Hyperhidrosis 4) Lipoma",Hyperhidrosis,3,3
"A patient is presenting with the following symptoms: Sweating, Warts, Acne or pimples. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Stricture of the esophagus 2) Cardiac arrest 3) Lipoma 4) Hyperhidrosis",Hyperhidrosis,4,3
"A patient is presenting with the following symptoms: Focal weakness, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Stroke 2) Envenomation from spider or animal bite 3) Cystic Fibrosis 4) Dry eye of unknown cause",Stroke,1,3
"A patient is presenting with the following symptoms: Focal weakness, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dry eye of unknown cause 2) Stroke 3) Cystic Fibrosis 4) Envenomation from spider or animal bite",Stroke,2,3
"A patient is presenting with the following symptoms: Focal weakness, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Envenomation from spider or animal bite 2) Cystic Fibrosis 3) Stroke 4) Dry eye of unknown cause",Stroke,3,3
"A patient is presenting with the following symptoms: Focal weakness, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cystic Fibrosis 2) Dry eye of unknown cause 3) Envenomation from spider or animal bite 4) Stroke",Stroke,4,3
"A patient is presenting with the following symptoms: Skin growth, Lower body pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pilonidal cyst 2) Temporary or benign blood in urine 3) Oral mucosal lesion 4) Erectile dysfunction",Pilonidal cyst,1,3
"A patient is presenting with the following symptoms: Skin growth, Lower body pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Temporary or benign blood in urine 2) Pilonidal cyst 3) Oral mucosal lesion 4) Erectile dysfunction",Pilonidal cyst,2,3
"A patient is presenting with the following symptoms: Skin growth, Lower body pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Erectile dysfunction 2) Temporary or benign blood in urine 3) Pilonidal cyst 4) Oral mucosal lesion",Pilonidal cyst,3,3
"A patient is presenting with the following symptoms: Skin growth, Lower body pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Temporary or benign blood in urine 2) Oral mucosal lesion 3) Erectile dysfunction 4) Pilonidal cyst",Pilonidal cyst,4,3
"A patient is presenting with the following symptoms: Hand or finger pain, Foot or toe pain, Loss of sensation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Crushing injury 2) Poisoning due to antipsychotics 3) Blepharitis 4) Ascending cholangitis",Crushing injury,1,3
"A patient is presenting with the following symptoms: Hand or finger pain, Foot or toe pain, Loss of sensation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Poisoning due to antipsychotics 2) Crushing injury 3) Ascending cholangitis 4) Blepharitis",Crushing injury,2,3
"A patient is presenting with the following symptoms: Hand or finger pain, Foot or toe pain, Loss of sensation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ascending cholangitis 2) Blepharitis 3) Crushing injury 4) Poisoning due to antipsychotics",Crushing injury,3,3
"A patient is presenting with the following symptoms: Hand or finger pain, Foot or toe pain, Loss of sensation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ascending cholangitis 2) Blepharitis 3) Poisoning due to antipsychotics 4) Crushing injury",Crushing injury,4,3
"A patient is presenting with the following symptoms: Problems with movement, Headache, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Normal pressure hydrocephalus 2) Uterine fibroids 3) Overflow incontinence 4) Premature ventricular contractions (PVCs)",Normal pressure hydrocephalus,1,3
"A patient is presenting with the following symptoms: Problems with movement, Headache, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Overflow incontinence 2) Normal pressure hydrocephalus 3) Uterine fibroids 4) Premature ventricular contractions (PVCs)",Normal pressure hydrocephalus,2,3
"A patient is presenting with the following symptoms: Problems with movement, Headache, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Uterine fibroids 2) Premature ventricular contractions (PVCs) 3) Normal pressure hydrocephalus 4) Overflow incontinence",Normal pressure hydrocephalus,3,3
"A patient is presenting with the following symptoms: Problems with movement, Headache, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Overflow incontinence 2) Uterine fibroids 3) Premature ventricular contractions (PVCs) 4) Normal pressure hydrocephalus",Normal pressure hydrocephalus,4,3
"A patient is presenting with the following symptoms: Too little hair, Irregular appearing scalp, Skin rash. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Alopecia 2) Idiopathic infrequent menstruation 3) Urinary tract infection 4) Open wound of the jaw",Alopecia,1,3
"A patient is presenting with the following symptoms: Too little hair, Irregular appearing scalp, Skin rash. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Urinary tract infection 2) Alopecia 3) Idiopathic infrequent menstruation 4) Open wound of the jaw",Alopecia,2,3
"A patient is presenting with the following symptoms: Too little hair, Irregular appearing scalp, Skin rash. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Idiopathic infrequent menstruation 2) Open wound of the jaw 3) Alopecia 4) Urinary tract infection",Alopecia,3,3
"A patient is presenting with the following symptoms: Too little hair, Irregular appearing scalp, Skin rash. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Urinary tract infection 2) Open wound of the jaw 3) Idiopathic infrequent menstruation 4) Alopecia",Alopecia,4,3
"A patient is presenting with the following symptoms: Weight gain, Constipation, Heavy menstrual flow. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hashimoto thyroiditis 2) Injury to the finger 3) Gallstone 4) Yeast infection",Hashimoto thyroiditis,1,3
"A patient is presenting with the following symptoms: Weight gain, Constipation, Heavy menstrual flow. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gallstone 2) Hashimoto thyroiditis 3) Yeast infection 4) Injury to the finger",Hashimoto thyroiditis,2,3
"A patient is presenting with the following symptoms: Weight gain, Constipation, Heavy menstrual flow. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gallstone 2) Injury to the finger 3) Hashimoto thyroiditis 4) Yeast infection",Hashimoto thyroiditis,3,3
"A patient is presenting with the following symptoms: Weight gain, Constipation, Heavy menstrual flow. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the finger 2) Yeast infection 3) Gallstone 4) Hashimoto thyroiditis",Hashimoto thyroiditis,4,3
"A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Flat feet 2) Open wound of the ear 3) Gum disease 4) Injury to the hand",Flat feet,1,3
"A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the ear 2) Flat feet 3) Injury to the hand 4) Gum disease",Flat feet,2,3
"A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the ear 2) Gum disease 3) Flat feet 4) Injury to the hand",Flat feet,3,3
"A patient is presenting with the following symptoms: Foot or toe pain, Knee pain, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the ear 2) Injury to the hand 3) Gum disease 4) Flat feet",Flat feet,4,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Nonalcoholic liver disease (NASH) 2) Sjogren syndrome 3) Pterygium 4) Conductive hearing loss",Nonalcoholic liver disease (NASH),1,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sjogren syndrome 2) Nonalcoholic liver disease (NASH) 3) Conductive hearing loss 4) Pterygium",Nonalcoholic liver disease (NASH),2,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Conductive hearing loss 2) Pterygium 3) Nonalcoholic liver disease (NASH) 4) Sjogren syndrome",Nonalcoholic liver disease (NASH),3,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sjogren syndrome 2) Conductive hearing loss 3) Pterygium 4) Nonalcoholic liver disease (NASH)",Nonalcoholic liver disease (NASH),4,3
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hemarthrosis 2) Hiatal hernia 3) Gastritis 4) Graves disease",Hemarthrosis,1,3
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Graves disease 2) Hemarthrosis 3) Hiatal hernia 4) Gastritis",Hemarthrosis,2,3
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Graves disease 2) Gastritis 3) Hemarthrosis 4) Hiatal hernia",Hemarthrosis,3,3
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hiatal hernia 2) Graves disease 3) Gastritis 4) Hemarthrosis",Hemarthrosis,4,3
"A patient is presenting with the following symptoms: Involuntary urination, Frequent urination, Symptoms of bladder. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pelvic organ prolapse 2) Intestinal malabsorption 3) Friedrich ataxia 4) Arrhythmia",Pelvic organ prolapse,1,3
"A patient is presenting with the following symptoms: Involuntary urination, Frequent urination, Symptoms of bladder. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Arrhythmia 2) Pelvic organ prolapse 3) Friedrich ataxia 4) Intestinal malabsorption",Pelvic organ prolapse,2,3
"A patient is presenting with the following symptoms: Involuntary urination, Frequent urination, Symptoms of bladder. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Intestinal malabsorption 2) Arrhythmia 3) Pelvic organ prolapse 4) Friedrich ataxia",Pelvic organ prolapse,3,3
"A patient is presenting with the following symptoms: Involuntary urination, Frequent urination, Symptoms of bladder. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Friedrich ataxia 2) Intestinal malabsorption 3) Arrhythmia 4) Pelvic organ prolapse",Pelvic organ prolapse,4,3
"A patient is presenting with the following symptoms: Arm pain, Wrist pain, Elbow pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the arm 2) Amblyopia 3) Genital herpes 4) Endometrial hyperplasia",Fracture of the arm,1,3
"A patient is presenting with the following symptoms: Arm pain, Wrist pain, Elbow pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Amblyopia 2) Fracture of the arm 3) Genital herpes 4) Endometrial hyperplasia",Fracture of the arm,2,3
"A patient is presenting with the following symptoms: Arm pain, Wrist pain, Elbow pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Endometrial hyperplasia 2) Genital herpes 3) Fracture of the arm 4) Amblyopia",Fracture of the arm,3,3
"A patient is presenting with the following symptoms: Arm pain, Wrist pain, Elbow pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Genital herpes 2) Endometrial hyperplasia 3) Amblyopia 4) Fracture of the arm",Fracture of the arm,4,3
"A patient is presenting with the following symptoms: Leg pain, Leg swelling, Nosebleed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Coagulation (bleeding) disorder 2) Hypergammaglobulinemia 3) Paget disease 4) Urinary tract infection",Coagulation (bleeding) disorder,1,3
"A patient is presenting with the following symptoms: Leg pain, Leg swelling, Nosebleed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Paget disease 2) Coagulation (bleeding) disorder 3) Urinary tract infection 4) Hypergammaglobulinemia",Coagulation (bleeding) disorder,2,3
"A patient is presenting with the following symptoms: Leg pain, Leg swelling, Nosebleed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Paget disease 2) Urinary tract infection 3) Coagulation (bleeding) disorder 4) Hypergammaglobulinemia",Coagulation (bleeding) disorder,3,3
"A patient is presenting with the following symptoms: Leg pain, Leg swelling, Nosebleed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Urinary tract infection 2) Hypergammaglobulinemia 3) Paget disease 4) Coagulation (bleeding) disorder",Coagulation (bleeding) disorder,4,3
"A patient is presenting with the following symptoms: Headache, Depressive or psychotic symptoms, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Intracranial hemorrhage 2) Hypothyroidism 3) Hyperopia 4) Toxic multinodular goiter",Intracranial hemorrhage,1,3
"A patient is presenting with the following symptoms: Headache, Depressive or psychotic symptoms, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Toxic multinodular goiter 2) Intracranial hemorrhage 3) Hyperopia 4) Hypothyroidism",Intracranial hemorrhage,2,3
"A patient is presenting with the following symptoms: Headache, Depressive or psychotic symptoms, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperopia 2) Hypothyroidism 3) Intracranial hemorrhage 4) Toxic multinodular goiter",Intracranial hemorrhage,3,3
"A patient is presenting with the following symptoms: Headache, Depressive or psychotic symptoms, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperopia 2) Hypothyroidism 3) Toxic multinodular goiter 4) Intracranial hemorrhage",Intracranial hemorrhage,4,3
"A patient is presenting with the following symptoms: Shortness of breath, Weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperkalemia 2) Fracture of the pelvis 3) VACTERL syndrome 4) Tricuspid valve disease",Hyperkalemia,1,3
"A patient is presenting with the following symptoms: Shortness of breath, Weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) VACTERL syndrome 2) Hyperkalemia 3) Tricuspid valve disease 4) Fracture of the pelvis",Hyperkalemia,2,3
"A patient is presenting with the following symptoms: Shortness of breath, Weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the pelvis 2) VACTERL syndrome 3) Hyperkalemia 4) Tricuspid valve disease",Hyperkalemia,3,3
"A patient is presenting with the following symptoms: Shortness of breath, Weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) VACTERL syndrome 2) Fracture of the pelvis 3) Tricuspid valve disease 4) Hyperkalemia",Hyperkalemia,4,3
"A patient is presenting with the following symptoms: Pain in eye, Eye redness, Diminished vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cornea infection 2) Bipolar disorder 3) Open wound of the cheek 4) Sepsis",Cornea infection,1,3
"A patient is presenting with the following symptoms: Pain in eye, Eye redness, Diminished vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sepsis 2) Cornea infection 3) Bipolar disorder 4) Open wound of the cheek",Cornea infection,2,3
"A patient is presenting with the following symptoms: Pain in eye, Eye redness, Diminished vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sepsis 2) Bipolar disorder 3) Cornea infection 4) Open wound of the cheek",Cornea infection,3,3
"A patient is presenting with the following symptoms: Pain in eye, Eye redness, Diminished vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the cheek 2) Sepsis 3) Bipolar disorder 4) Cornea infection",Cornea infection,4,3
"A patient is presenting with the following symptoms: Cough, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Abscess of the lung 2) Asperger syndrome 3) Viral warts 4) Cataract",Abscess of the lung,1,3
"A patient is presenting with the following symptoms: Cough, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Asperger syndrome 2) Abscess of the lung 3) Viral warts 4) Cataract",Abscess of the lung,2,3
"A patient is presenting with the following symptoms: Cough, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Viral warts 2) Cataract 3) Abscess of the lung 4) Asperger syndrome",Abscess of the lung,3,3
"A patient is presenting with the following symptoms: Cough, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cataract 2) Viral warts 3) Asperger syndrome 4) Abscess of the lung",Abscess of the lung,4,3
"A patient is presenting with the following symptoms: Sore throat, Fever, Shoulder cramps or spasms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dengue fever 2) Acute glaucoma 3) Choledocholithiasis 4) Drug abuse (barbiturates)",Dengue fever,1,3
"A patient is presenting with the following symptoms: Sore throat, Fever, Shoulder cramps or spasms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute glaucoma 2) Dengue fever 3) Drug abuse (barbiturates) 4) Choledocholithiasis",Dengue fever,2,3
"A patient is presenting with the following symptoms: Sore throat, Fever, Shoulder cramps or spasms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute glaucoma 2) Choledocholithiasis 3) Dengue fever 4) Drug abuse (barbiturates)",Dengue fever,3,3
"A patient is presenting with the following symptoms: Sore throat, Fever, Shoulder cramps or spasms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute glaucoma 2) Drug abuse (barbiturates) 3) Choledocholithiasis 4) Dengue fever",Dengue fever,4,3
"A patient is presenting with the following symptoms: Cough, Nasal congestion, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic sinusitis 2) Hydronephrosis 3) Open wound of the jaw 4) Threatened pregnancy",Chronic sinusitis,1,3
"A patient is presenting with the following symptoms: Cough, Nasal congestion, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Threatened pregnancy 2) Chronic sinusitis 3) Open wound of the jaw 4) Hydronephrosis",Chronic sinusitis,2,3
"A patient is presenting with the following symptoms: Cough, Nasal congestion, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hydronephrosis 2) Open wound of the jaw 3) Chronic sinusitis 4) Threatened pregnancy",Chronic sinusitis,3,3
"A patient is presenting with the following symptoms: Cough, Nasal congestion, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Threatened pregnancy 2) Open wound of the jaw 3) Hydronephrosis 4) Chronic sinusitis",Chronic sinusitis,4,3
"A patient is presenting with the following symptoms: Ear pain, Diminished hearing, Fluid in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cholesteatoma 2) Obstructive sleep apnea (OSA) 3) Gynecomastia 4) Thoracic aortic aneurysm",Cholesteatoma,1,3
"A patient is presenting with the following symptoms: Ear pain, Diminished hearing, Fluid in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Obstructive sleep apnea (OSA) 2) Cholesteatoma 3) Thoracic aortic aneurysm 4) Gynecomastia",Cholesteatoma,2,3
"A patient is presenting with the following symptoms: Ear pain, Diminished hearing, Fluid in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Obstructive sleep apnea (OSA) 2) Thoracic aortic aneurysm 3) Cholesteatoma 4) Gynecomastia",Cholesteatoma,3,3
"A patient is presenting with the following symptoms: Ear pain, Diminished hearing, Fluid in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Thoracic aortic aneurysm 2) Gynecomastia 3) Obstructive sleep apnea (OSA) 4) Cholesteatoma",Cholesteatoma,4,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Vomiting, Constipation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Volvulus 2) Injury to the shoulder 3) Syphilis 4) Orthostatic hypotension",Volvulus,1,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Vomiting, Constipation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the shoulder 2) Volvulus 3) Orthostatic hypotension 4) Syphilis",Volvulus,2,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Vomiting, Constipation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Syphilis 2) Injury to the shoulder 3) Volvulus 4) Orthostatic hypotension",Volvulus,3,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Vomiting, Constipation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Syphilis 2) Orthostatic hypotension 3) Injury to the shoulder 4) Volvulus",Volvulus,4,3
"A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the finger 2) Intertrigo (skin condition) 3) Lymphangitis 4) Female genitalia infection",Injury to the finger,1,3
"A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Intertrigo (skin condition) 2) Injury to the finger 3) Female genitalia infection 4) Lymphangitis",Injury to the finger,2,3
"A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Female genitalia infection 2) Intertrigo (skin condition) 3) Injury to the finger 4) Lymphangitis",Injury to the finger,3,3
"A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lymphangitis 2) Intertrigo (skin condition) 3) Female genitalia infection 4) Injury to the finger",Injury to the finger,4,3
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Poisoning due to analgesics 2) Tracheitis 3) Meniere disease 4) Gas gangrene",Poisoning due to analgesics,1,3
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tracheitis 2) Poisoning due to analgesics 3) Gas gangrene 4) Meniere disease",Poisoning due to analgesics,2,3
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Meniere disease 2) Gas gangrene 3) Poisoning due to analgesics 4) Tracheitis",Poisoning due to analgesics,3,3
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Meniere disease 2) Tracheitis 3) Gas gangrene 4) Poisoning due to analgesics",Poisoning due to analgesics,4,3
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Palpitations. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atrial fibrillation 2) Fracture of the arm 3) Depression 4) Cornea infection",Atrial fibrillation,1,3
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Palpitations. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cornea infection 2) Atrial fibrillation 3) Depression 4) Fracture of the arm",Atrial fibrillation,2,3
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Palpitations. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cornea infection 2) Fracture of the arm 3) Atrial fibrillation 4) Depression",Atrial fibrillation,3,3
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Palpitations. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the arm 2) Depression 3) Cornea infection 4) Atrial fibrillation",Atrial fibrillation,4,3
"A patient is presenting with the following symptoms: Itching of the anus, Sharp abdominal pain, Pain of the anus. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pinworm infection 2) Seborrheic keratosis 3) Flu 4) Neuromyelitis optica",Pinworm infection,1,3
"A patient is presenting with the following symptoms: Itching of the anus, Sharp abdominal pain, Pain of the anus. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Flu 2) Pinworm infection 3) Neuromyelitis optica 4) Seborrheic keratosis",Pinworm infection,2,3
"A patient is presenting with the following symptoms: Itching of the anus, Sharp abdominal pain, Pain of the anus. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Flu 2) Seborrheic keratosis 3) Pinworm infection 4) Neuromyelitis optica",Pinworm infection,3,3
"A patient is presenting with the following symptoms: Itching of the anus, Sharp abdominal pain, Pain of the anus. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Flu 2) Seborrheic keratosis 3) Neuromyelitis optica 4) Pinworm infection",Pinworm infection,4,3
"A patient is presenting with the following symptoms: Side pain, Sharp abdominal pain, Lower abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Urethral valves 2) Attention deficit hyperactivity disorder (ADHD) 3) Scar 4) Orthostatic hypotension",Urethral valves,1,3
"A patient is presenting with the following symptoms: Side pain, Sharp abdominal pain, Lower abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Orthostatic hypotension 2) Urethral valves 3) Scar 4) Attention deficit hyperactivity disorder (ADHD)",Urethral valves,2,3
"A patient is presenting with the following symptoms: Side pain, Sharp abdominal pain, Lower abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Scar 2) Orthostatic hypotension 3) Urethral valves 4) Attention deficit hyperactivity disorder (ADHD)",Urethral valves,3,3
"A patient is presenting with the following symptoms: Side pain, Sharp abdominal pain, Lower abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Orthostatic hypotension 2) Attention deficit hyperactivity disorder (ADHD) 3) Scar 4) Urethral valves",Urethral valves,4,3
"A patient is presenting with the following symptoms: Skin lesion, Ache all over, Abnormal appearing skin. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the neck 2) Open wound of the arm 3) Cyst of the eyelid 4) Fetal alcohol syndrome",Open wound of the neck,1,3
"A patient is presenting with the following symptoms: Skin lesion, Ache all over, Abnormal appearing skin. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the arm 2) Open wound of the neck 3) Cyst of the eyelid 4) Fetal alcohol syndrome",Open wound of the neck,2,3
