Question,Answer Disease,Answer Index,Number of Symptoms,llama31b_Answer,extracted,check
"A patient is presenting with the following symptoms: Depression, Recent pregnancy, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Urge incontinence 2) Postpartum depression 3) Myositis 4) Mononeuritis",Postpartum depression,2,3,"2) Postpartum depression
Explanation: Postpartum depression is a condition that affects women after childbirth. It is characterized by feelings of sadness, hopelessness, and a lack of interest in activities. The symptoms of postpartum depression can",2,same
"A patient is presenting with the following symptoms: Depression, Recent pregnancy, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Myositis 2) Mononeuritis 3) Postpartum depression 4) Urge incontinence",Postpartum depression,3,3,"3) Postpartum depression
Explanation: Postpartum depression is a condition that affects women after childbirth. It is characterized by feelings of sadness, hopelessness, and a lack of interest in activities. The symptoms of postpartum depression can",3,same
"A patient is presenting with the following symptoms: Depression, Recent pregnancy, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Myositis 2) Urge incontinence 3) Mononeuritis 4) Postpartum depression",Postpartum depression,4,3,"4) Postpartum depression
Explanation: Postpartum depression is a condition that affects women after childbirth. It is characterized by feelings of sadness, hopelessness, and a lack of interest in activities. The symptoms of postpartum depression can",4,same
"A patient is presenting with the following symptoms: Sharp chest pain, Shortness of breath, Fatigue. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Coronary atherosclerosis 2) Psychotic disorder 3) Open wound of the foot 4) Abdominal hernia",Coronary atherosclerosis,1,3,"1) Coronary atherosclerosis
Explanation: The patient is presenting with sharp chest pain and shortness of breath, which are classic symptoms of coronary atherosclerosis, also known as a heart attack. Fatigue is also a common symptom of",1,same
"A patient is presenting with the following symptoms: Sharp chest pain, Shortness of breath, Fatigue. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the foot 2) Coronary atherosclerosis 3) Abdominal hernia 4) Psychotic disorder",Coronary atherosclerosis,2,3,"2) Coronary atherosclerosis
Explanation: The patient's symptoms of sharp chest pain and shortness of breath are indicative of a cardiovascular issue. Coronary atherosclerosis is a condition where the coronary arteries become narrowed due to plaque buildup,",2,same
"A patient is presenting with the following symptoms: Sharp chest pain, Shortness of breath, Fatigue. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Abdominal hernia 2) Psychotic disorder 3) Coronary atherosclerosis 4) Open wound of the foot",Coronary atherosclerosis,3,3,"3) Coronary atherosclerosis
Explanation: The patient's symptoms of sharp chest pain and shortness of breath are indicative of a cardiovascular issue. Fatigue is also a common symptom of coronary atherosclerosis. The other options do not match",3,same
"A patient is presenting with the following symptoms: Sharp chest pain, Shortness of breath, Fatigue. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Abdominal hernia 2) Open wound of the foot 3) Psychotic disorder 4) Coronary atherosclerosis",Coronary atherosclerosis,4,3,"4) Coronary atherosclerosis
Explanation: The patient's symptoms of sharp chest pain and shortness of breath are indicative of a cardiovascular issue. Fatigue is also a common symptom of cardiovascular disease. Coronary atherosclerosis is a condition",4,same
"A patient is presenting with the following symptoms: Back pain, Low back pain, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spondylitis 2) Myoclonus 3) Schizophrenia 4) Marfan syndrome",Spondylitis,1,3,"1) Spondylitis
Explanation: Spondylitis is an inflammatory disease that affects the spine and can cause back pain and leg pain. The other options are not related to the symptoms described. Myoclonus is a neurological disorder",1,same
"A patient is presenting with the following symptoms: Back pain, Low back pain, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Marfan syndrome 2) Spondylitis 3) Myoclonus 4) Schizophrenia",Spondylitis,2,3,"2) Spondylitis
Explanation: Spondylitis is a type of arthritis that affects the spine, causing back pain and stiffness. It can also cause pain in the legs, which is a common symptom of this condition. Marfan",2,same
"A patient is presenting with the following symptoms: Back pain, Low back pain, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Myoclonus 2) Marfan syndrome 3) Spondylitis 4) Schizophrenia",Spondylitis,3,3,"3) Spondylitis
Explanation: Spondylitis is an inflammatory disease that affects the spine and can cause back pain and leg pain. Myoclonus is a neurological disorder characterized by sudden, involuntary muscle contractions. Marfan",3,same
"A patient is presenting with the following symptoms: Back pain, Low back pain, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Marfan syndrome 2) Myoclonus 3) Schizophrenia 4) Spondylitis",Spondylitis,4,3,"4) Spondylitis
Explanation: Spondylitis is an inflammatory disease that affects the spine and can cause back pain and leg pain. Marfan syndrome is a genetic disorder that affects the connective tissue in the body, but it",4,same
"A patient is presenting with the following symptoms: Headache, Loss of sensation, Diminished vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pituitary adenoma 2) Paroxysmal supraventricular tachycardia 3) Herpangina 4) Fracture of the foot",Pituitary adenoma,1,3,"1) Pituitary adenoma
Explanation: The symptoms of headache, loss of sensation, and diminished vision are suggestive of a pituitary adenoma. A pituitary adenoma is a type of tumor that occurs in the pituit",1,same
"A patient is presenting with the following symptoms: Headache, Loss of sensation, Diminished vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Paroxysmal supraventricular tachycardia 2) Pituitary adenoma 3) Herpangina 4) Fracture of the foot",Pituitary adenoma,2,3,"2) Pituitary adenoma
Explanation: The symptoms of headache, loss of sensation, and diminished vision are suggestive of a pituitary adenoma. A pituitary adenoma is a type of tumor that occurs in the pituit",2,same
"A patient is presenting with the following symptoms: Headache, Loss of sensation, Diminished vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Paroxysmal supraventricular tachycardia 2) Fracture of the foot 3) Pituitary adenoma 4) Herpangina",Pituitary adenoma,3,3,"3) Pituitary adenoma
Explanation: The symptoms of headache, loss of sensation, and diminished vision are suggestive of a pituitary adenoma. A pituitary adenoma is a type of tumor that occurs in the pituit",3,same
"A patient is presenting with the following symptoms: Headache, Loss of sensation, Diminished vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the foot 2) Paroxysmal supraventricular tachycardia 3) Herpangina 4) Pituitary adenoma",Pituitary adenoma,4,3,"4) Pituitary adenoma
Explanation: The symptoms of headache, loss of sensation, and diminished vision are suggestive of a pituitary adenoma. A pituitary adenoma is a type of tumor that occurs in the pituit",4,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pelvic pain, Heavy menstrual flow. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Uterine fibroids 2) Subarachnoid hemorrhage 3) Cryptorchidism 4) Diabetic peripheral neuropathy",Uterine fibroids,1,3,"1) Uterine fibroids
Explanation: Uterine fibroids are benign tumors that grow in the uterus. They can cause heavy menstrual bleeding, pelvic pain, and sharp abdominal pain. The other options are not related to the symptoms described",1,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pelvic pain, Heavy menstrual flow. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Subarachnoid hemorrhage 2) Uterine fibroids 3) Cryptorchidism 4) Diabetic peripheral neuropathy",Uterine fibroids,2,3,"2) Uterine fibroids
Explanation: The patient is presenting with sharp abdominal pain, pelvic pain, and heavy menstrual flow. These symptoms are most commonly associated with uterine fibroids. Uterine fibroids are benign tumors that",2,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pelvic pain, Heavy menstrual flow. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cryptorchidism 2) Subarachnoid hemorrhage 3) Uterine fibroids 4) Diabetic peripheral neuropathy",Uterine fibroids,3,3,"3) Uterine fibroids
Explanation: The patient is presenting with sharp abdominal pain, pelvic pain, and heavy menstrual flow. These symptoms are most commonly associated with uterine fibroids, which are benign tumors that grow in the uterus",3,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pelvic pain, Heavy menstrual flow. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Diabetic peripheral neuropathy 2) Cryptorchidism 3) Subarachnoid hemorrhage 4) Uterine fibroids",Uterine fibroids,4,3,"4) Uterine fibroids
Explanation: Uterine fibroids are benign tumors that grow in the uterus. They can cause heavy menstrual bleeding, pelvic pain, and sharp abdominal pain. Diabetic peripheral neuropathy is a complication of diabetes",4,same
"A patient is presenting with the following symptoms: Intermenstrual bleeding, Unpredictable menstruation, Long menstrual periods. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Idiopathic nonmenstrual bleeding 2) Open wound of the knee 3) Rosacea 4) Meniere disease",Idiopathic nonmenstrual bleeding,1,3,"1) Idiopathic nonmenstrual bleeding
Explanation: The patient is presenting with intermenstrual bleeding, unpredictable menstruation, and long menstrual periods. These symptoms are indicative of a gynecological issue, specifically a condition that affects",1,same
"A patient is presenting with the following symptoms: Intermenstrual bleeding, Unpredictable menstruation, Long menstrual periods. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Rosacea 2) Idiopathic nonmenstrual bleeding 3) Meniere disease 4) Open wound of the knee",Idiopathic nonmenstrual bleeding,2,3,"2) Idiopathic nonmenstrual bleeding
Explanation: The patient is presenting with intermenstrual bleeding, unpredictable menstruation, and long menstrual periods. These symptoms are indicative of irregular menstrual bleeding, which is a hallmark of idiopathic",2,same
"A patient is presenting with the following symptoms: Intermenstrual bleeding, Unpredictable menstruation, Long menstrual periods. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Rosacea 2) Meniere disease 3) Idiopathic nonmenstrual bleeding 4) Open wound of the knee",Idiopathic nonmenstrual bleeding,3,3,"3) Idiopathic nonmenstrual bleeding
Explanation: The patient is presenting with intermenstrual bleeding, unpredictable menstruation, and long menstrual periods. These symptoms are indicative of irregular menstrual bleeding, which is a hallmark of idiopathic",3,same
"A patient is presenting with the following symptoms: Intermenstrual bleeding, Unpredictable menstruation, Long menstrual periods. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Rosacea 2) Open wound of the knee 3) Meniere disease 4) Idiopathic nonmenstrual bleeding",Idiopathic nonmenstrual bleeding,4,3,"4) Idiopathic nonmenstrual bleeding
Explanation: The patient is presenting with intermenstrual bleeding, unpredictable menstruation, and long menstrual periods. These symptoms are indicative of abnormal uterine bleeding, which is a common symptom",4,same
"A patient is presenting with the following symptoms: Mass on eyelid, Pain in eye, Swollen eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chalazion 2) Premature ovarian failure 3) Obstructive sleep apnea (OSA) 4) Coagulation (bleeding) disorder",Chalazion,1,3,"1) Chalazion
Explanation: A chalazion is a small bump in the eyelid caused by a blockage of a tiny oil gland. Symptoms include a painless mass on the eyelid, swelling of the eyelid",1,same
"A patient is presenting with the following symptoms: Mass on eyelid, Pain in eye, Swollen eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Obstructive sleep apnea (OSA) 2) Chalazion 3) Premature ovarian failure 4) Coagulation (bleeding) disorder",Chalazion,2,3,"2) Chalazion
Explanation: A chalazion is a small bump in the eyelid caused by a blockage of a tiny oil gland. Symptoms include a painless mass on the eyelid, swelling of the eyelid",2,same
"A patient is presenting with the following symptoms: Mass on eyelid, Pain in eye, Swollen eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Coagulation (bleeding) disorder 2) Premature ovarian failure 3) Chalazion 4) Obstructive sleep apnea (OSA)",Chalazion,3,3,"3) Chalazion
Explanation: A chalazion is a small bump in the eyelid caused by a blockage of a tiny oil gland. Symptoms include a painless mass on the eyelid, swelling of the eyelid",3,same
"A patient is presenting with the following symptoms: Mass on eyelid, Pain in eye, Swollen eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Premature ovarian failure 2) Coagulation (bleeding) disorder 3) Obstructive sleep apnea (OSA) 4) Chalazion",Chalazion,4,3,"4) Chalazion
Explanation: A chalazion is a small bump in the eyelid caused by a blockage of a tiny oil gland. Symptoms include a mass on the eyelid, pain in the eye, and swelling",4,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Lower abdominal pain, Pelvic pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ovarian torsion 2) Spondylosis 3) Smoking or tobacco addiction 4) Oral leukoplakia",Ovarian torsion,1,3,"1) Ovarian torsion
Explanation: Ovarian torsion is a condition where the ovary twists around its ligament, cutting off blood flow to the ovary. This can cause severe abdominal pain, which is often described as",1,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Lower abdominal pain, Pelvic pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Smoking or tobacco addiction 2) Ovarian torsion 3) Oral leukoplakia 4) Spondylosis",Ovarian torsion,2,3,"2) Ovarian torsion
Explanation: Ovarian torsion is a condition where the ovary twists around its ligament, cutting off blood flow to the ovary. This can cause severe abdominal pain, which is often described as",2,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Lower abdominal pain, Pelvic pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Smoking or tobacco addiction 2) Oral leukoplakia 3) Ovarian torsion 4) Spondylosis",Ovarian torsion,3,3,"3) Ovarian torsion
Explanation: Ovarian torsion is a condition where the ovary twists around its ligament, cutting off blood flow to the ovary. This can cause severe abdominal pain, which is often described as",3,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Lower abdominal pain, Pelvic pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spondylosis 2) Oral leukoplakia 3) Smoking or tobacco addiction 4) Ovarian torsion",Ovarian torsion,4,3,"4) Ovarian torsion
Explanation: Ovarian torsion is a condition where the ovary twists around its ligament, cutting off blood flow to the ovary. This can cause severe abdominal pain, which is often described as",4,same
"A patient is presenting with the following symptoms: Diminished vision, Spots or clouds in vision, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Retinopathy due to high blood pressure 2) Cytomegalovirus infection 3) Pulmonary hypertension 4) Fracture of the vertebra",Retinopathy due to high blood pressure,1,3,"1) Retinopathy due to high blood pressure
Explanation: The patient is presenting with symptoms of eye disease, including diminished vision and spots or clouds in vision. The most likely diagnosis is retinopathy due to high blood pressure, which is",1,same
"A patient is presenting with the following symptoms: Diminished vision, Spots or clouds in vision, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the vertebra 2) Retinopathy due to high blood pressure 3) Cytomegalovirus infection 4) Pulmonary hypertension",Retinopathy due to high blood pressure,2,3,"2) Retinopathy due to high blood pressure
Explanation: The patient is presenting with symptoms of eye disease, including diminished vision and spots or clouds in vision. These symptoms are most commonly associated with retinopathy due to high blood pressure.",2,same
"A patient is presenting with the following symptoms: Diminished vision, Spots or clouds in vision, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cytomegalovirus infection 2) Fracture of the vertebra 3) Retinopathy due to high blood pressure 4) Pulmonary hypertension",Retinopathy due to high blood pressure,3,3,"3) Retinopathy due to high blood pressure
Explanation: The patient is presenting with symptoms of eye disease, including diminished vision and spots or clouds in vision. These symptoms are most consistent with retinopathy due to high blood pressure, which",3,same
"A patient is presenting with the following symptoms: Diminished vision, Spots or clouds in vision, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pulmonary hypertension 2) Cytomegalovirus infection 3) Fracture of the vertebra 4) Retinopathy due to high blood pressure",Retinopathy due to high blood pressure,4,3,"4) Retinopathy due to high blood pressure
Explanation: The patient is presenting with symptoms of eye disease, including diminished vision and spots or clouds in vision. The most likely diagnosis is retinopathy due to high blood pressure, which is",4,same
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal discharge, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vaginal yeast infection 2) Mitral valve disease 3) Parasitic disease 4) Pemphigus",Vaginal yeast infection,1,3,"1) Vaginal yeast infection
Explanation: The patient is presenting with symptoms of vaginal itching, vaginal discharge, and painful urination. These symptoms are most commonly associated with a vaginal yeast infection. A vaginal yeast infection is a common condition caused",1,same
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal discharge, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Parasitic disease 2) Vaginal yeast infection 3) Mitral valve disease 4) Pemphigus",Vaginal yeast infection,2,3,"2) Vaginal yeast infection
Explanation: The patient is presenting with symptoms of vaginal itching, vaginal discharge, and painful urination. These symptoms are most commonly associated with a vaginal yeast infection. A vaginal yeast infection is a common condition caused",2,same
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal discharge, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pemphigus 2) Mitral valve disease 3) Vaginal yeast infection 4) Parasitic disease",Vaginal yeast infection,3,3,"3) Vaginal yeast infection
Explanation: The patient is presenting with symptoms of vaginal itching, vaginal discharge, and painful urination. These symptoms are most commonly associated with a vaginal yeast infection. A vaginal yeast infection is a common condition caused",3,same
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal discharge, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Parasitic disease 2) Mitral valve disease 3) Pemphigus 4) Vaginal yeast infection",Vaginal yeast infection,4,3,"4) Vaginal yeast infection
Explanation: The patient is presenting with symptoms of vaginal itching, vaginal discharge, and painful urination. These symptoms are most commonly associated with a vaginal yeast infection. A vaginal yeast infection is a common condition caused",4,same
"A patient is presenting with the following symptoms: Ear pain, Dizziness, Redness in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Mastoiditis 2) Foreign body in the nose 3) Venous insufficiency 4) Overflow incontinence",Mastoiditis,1,3,"1) Mastoiditis
Explanation: The symptoms of ear pain, dizziness, and redness in the ear are indicative of mastoiditis, an infection of the mastoid bone in the skull. This condition often presents with ear pain,",1,same
"A patient is presenting with the following symptoms: Ear pain, Dizziness, Redness in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Venous insufficiency 2) Mastoiditis 3) Foreign body in the nose 4) Overflow incontinence",Mastoiditis,2,3,"2) Mastoiditis
Explanation: The symptoms of ear pain, dizziness, and redness in the ear are indicative of mastoiditis, an infection of the mastoid bone in the skull. This condition often presents with symptoms such as",2,same
"A patient is presenting with the following symptoms: Ear pain, Dizziness, Redness in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Venous insufficiency 2) Foreign body in the nose 3) Mastoiditis 4) Overflow incontinence",Mastoiditis,3,3,"3) Mastoiditis
Explanation: The patient is presenting with ear pain, dizziness, and redness in the ear. These symptoms are suggestive of mastoiditis, which is an infection of the mastoid bone in the skull. The",3,same
"A patient is presenting with the following symptoms: Ear pain, Dizziness, Redness in ear. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Venous insufficiency 2) Foreign body in the nose 3) Overflow incontinence 4) Mastoiditis",Mastoiditis,4,3,"4) Mastoiditis
Explanation: The patient is presenting with ear pain, dizziness, and redness in the ear. These symptoms are suggestive of mastoiditis, which is an infection of the mastoid bone in the skull. The",4,same
"A patient is presenting with the following symptoms: Back pain, Sharp chest pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lung contusion 2) Chorioretinitis 3) Bursitis 4) Missed abortion",Lung contusion,1,3,"1) Lung contusion
Explanation: The patient is presenting with sharp chest pain and back pain, which are indicative of a lung contusion. A lung contusion is a bruise of the lung tissue, which can be caused by a traumatic",1,same
"A patient is presenting with the following symptoms: Back pain, Sharp chest pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Missed abortion 2) Lung contusion 3) Chorioretinitis 4) Bursitis",Lung contusion,2,3,"2) Lung contusion
Explanation: The patient is presenting with sharp chest pain and back pain, which are common symptoms of a lung contusion. A lung contusion is a bruise of the lung tissue, which can be caused by a",2,same
"A patient is presenting with the following symptoms: Back pain, Sharp chest pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Missed abortion 2) Chorioretinitis 3) Lung contusion 4) Bursitis",Lung contusion,3,3,"3) Lung contusion
Explanation: The patient is presenting with sharp chest pain and ache all over, which are indicative of a lung contusion. A lung contusion is a bruise of the lung tissue, which can be caused by a",3,same
"A patient is presenting with the following symptoms: Back pain, Sharp chest pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Missed abortion 2) Bursitis 3) Chorioretinitis 4) Lung contusion",Lung contusion,4,3,"4) Lung contusion
Explanation: The patient is presenting with sharp chest pain and ache all over, which are indicative of a lung contusion. A lung contusion is a bruise of the lung tissue, which can be caused by a",4,same
"A patient is presenting with the following symptoms: Sharp chest pain, Difficulty breathing, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hypertrophic obstructive cardiomyopathy (HOCM) 2) Testicular disorder 3) Vaginismus 4) Guillain Barre syndrome",Hypertrophic obstructive cardiomyopathy (HOCM),1,3,"1) Hypertrophic obstructive cardiomyopathy (HOCM) 
Explanation: The patient is presenting with sharp chest pain and difficulty breathing, which are classic symptoms of a cardiac issue. HOCM is a condition where the heart muscle",1,same
"A patient is presenting with the following symptoms: Sharp chest pain, Difficulty breathing, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Guillain Barre syndrome 2) Hypertrophic obstructive cardiomyopathy (HOCM) 3) Testicular disorder 4) Vaginismus",Hypertrophic obstructive cardiomyopathy (HOCM),2,3,"2) Hypertrophic obstructive cardiomyopathy (HOCM) 
Explanation: The patient is presenting with sharp chest pain and difficulty breathing, which are classic symptoms of a cardiac issue. Hypertrophic obstructive cardiomyopathy (H",2,same
"A patient is presenting with the following symptoms: Sharp chest pain, Difficulty breathing, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Testicular disorder 2) Guillain Barre syndrome 3) Hypertrophic obstructive cardiomyopathy (HOCM) 4) Vaginismus",Hypertrophic obstructive cardiomyopathy (HOCM),3,3,"3) Hypertrophic obstructive cardiomyopathy (HOCM) 
Explanation: The patient is presenting with sharp chest pain and difficulty breathing, which are classic symptoms of a cardiac issue. The patient is also experiencing anxiety and nervousness,",3,same
"A patient is presenting with the following symptoms: Sharp chest pain, Difficulty breathing, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Guillain Barre syndrome 2) Vaginismus 3) Testicular disorder 4) Hypertrophic obstructive cardiomyopathy (HOCM)",Hypertrophic obstructive cardiomyopathy (HOCM),4,3,"4) Hypertrophic obstructive cardiomyopathy (HOCM) is the most likely diagnosis. The symptoms of sharp chest pain, difficulty breathing, and anxiety are consistent with a cardiac condition, and HOCM is a condition that can",4,same
"A patient is presenting with the following symptoms: Irregular appearing nails, Foot or toe pain, Skin on leg or foot looks infected. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ingrown toe nail 2) Liver disease 3) Hiatal hernia 4) Vulvodynia",Ingrown toe nail,1,3,"1) Ingrown toe nail
Explanation: Ingrown toenails are a common condition that can cause pain and infection. The symptoms of an ingrown toenail include pain, redness, swelling, and sometimes an abnormal appearance of the nail.",1,same
"A patient is presenting with the following symptoms: Irregular appearing nails, Foot or toe pain, Skin on leg or foot looks infected. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hiatal hernia 2) Ingrown toe nail 3) Liver disease 4) Vulvodynia",Ingrown toe nail,2,3,"2) Ingrown toe nail
Explanation: Ingrown toenails are a common condition that can cause pain and infection. The symptoms of an ingrown toenail include pain, redness, swelling, and sometimes an infection of the skin around the",2,same
"A patient is presenting with the following symptoms: Irregular appearing nails, Foot or toe pain, Skin on leg or foot looks infected. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vulvodynia 2) Liver disease 3) Ingrown toe nail 4) Hiatal hernia",Ingrown toe nail,3,3,"3) Ingrown toe nail
Explanation: Ingrown toenails are a common condition that can cause pain and infection. The symptoms of an ingrown toenail include pain, redness, swelling, and sometimes an infection of the skin around the",3,same
"A patient is presenting with the following symptoms: Irregular appearing nails, Foot or toe pain, Skin on leg or foot looks infected. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Liver disease 2) Vulvodynia 3) Hiatal hernia 4) Ingrown toe nail",Ingrown toe nail,4,3,"4) Ingrown toe nail
Explanation: Ingrown toenails are a common condition that can cause pain and infection. The symptoms of an ingrown toenail include pain, redness, swelling, and pus around the nail. The patient's",4,same
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Fever. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pulmonary eosinophilia 2) Bell palsy 3) West Nile virus 4) Volvulus",Pulmonary eosinophilia,1,3,"1) Pulmonary eosinophilia. 

Reasoning skill for Scientific Evidence Evaluation: 
This question requires the ability to analyze symptoms and match them with a disease. The correct answer, Pulmonary eosinophilia, is a condition characterized by an",1,same
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Fever. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Volvulus 2) Pulmonary eosinophilia 3) Bell palsy 4) West Nile virus",Pulmonary eosinophilia,2,3,"2) Pulmonary eosinophilia
Explanation: The patient is presenting with symptoms of cough, shortness of breath, and fever. These symptoms are suggestive of a respiratory infection. Pulmonary eosinophilia is a condition characterized by an accumulation of",2,same
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Fever. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Bell palsy 2) Volvulus 3) Pulmonary eosinophilia 4) West Nile virus",Pulmonary eosinophilia,3,3,"3) Pulmonary eosinophilia
Explanation: The patient's symptoms of cough, shortness of breath, and fever are suggestive of a respiratory infection. Pulmonary eosinophilia is a condition characterized by an accumulation of eosinophils in",3,same
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Fever. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Volvulus 2) West Nile virus 3) Bell palsy 4) Pulmonary eosinophilia",Pulmonary eosinophilia,4,3,"2) West Nile virus
Explanation: West Nile virus is a mosquito-borne flavivirus that can cause fever, headache, and encephalitis. The symptoms of cough, shortness of breath, and fever are consistent with West Nile virus",2,different
"A patient is presenting with the following symptoms: Hip pain, Leg pain, Hip swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the hip 2) Folate deficiency 3) Asthma 4) Pain disorder affecting the neck",Open wound of the hip,1,3,"1) Open wound of the hip
Explanation: The patient is presenting with hip pain, leg pain, and hip swelling. These symptoms are most consistent with an open wound of the hip, which would likely cause pain and swelling in the affected area",1,same
"A patient is presenting with the following symptoms: Hip pain, Leg pain, Hip swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Folate deficiency 2) Open wound of the hip 3) Asthma 4) Pain disorder affecting the neck",Open wound of the hip,2,3,"2) Open wound of the hip
Explanation: The patient is presenting with hip pain, leg pain, and hip swelling. These symptoms are most consistent with an open wound of the hip, which would likely cause pain and swelling in the affected area",2,same
"A patient is presenting with the following symptoms: Hip pain, Leg pain, Hip swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pain disorder affecting the neck 2) Folate deficiency 3) Open wound of the hip 4) Asthma",Open wound of the hip,3,3,"3) Open wound of the hip
Explanation: The patient is presenting with hip pain, leg pain, and hip swelling. These symptoms are most consistent with an open wound of the hip, which would likely cause inflammation and swelling in the affected area",3,same
"A patient is presenting with the following symptoms: Hip pain, Leg pain, Hip swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Folate deficiency 2) Asthma 3) Pain disorder affecting the neck 4) Open wound of the hip",Open wound of the hip,4,3,"4) Open wound of the hip
Explanation: The patient is presenting with hip pain, leg pain, and hip swelling. These symptoms are most consistent with an open wound of the hip, which would likely cause inflammation and swelling in the affected area",4,same
